cid,smiles
89819869,B(C1=C2C(=CC(=C1O)O)C3=C(O2)CCC4C3(CCCC4(C)C)C)(O)O
44413107,C1=C(SC(=C1)C2=C(C(=CC(=C2)F)F)O)C=C3C(=O)NC(=O)S3
71272765,C1=CC(=C(C(=C1)Cl)Cl)CC2=C(NN3C2=NC(=CC3=O)C4=CC=NC=C4)C(F)(F)F
60155725,C1=CC(=C(C(=C1)F)F)NS(=O)(=O)C2=C(C=CC(=C2)C3=CN=C(C=N3)N)Cl
60155726,C1=CC(=C(C(=C1)F)F)NS(=O)(=O)C2=C(C=CC(=C2)C3=CN=C(N=C3)N)Cl
60155806,C1=CC(=C(C(=C1)F)F)NS(=O)(=O)C2=C(C=CC(=C2)C3=CN=C(N=C3OCC(F)(F)F)N)Cl
11515474,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C2=CC=C(O2)C=C3C(=O)NC(=O)S3
11652531,C1=CC(=C(C=C1C#N)C2=CC=C(O2)C=C3C(=O)NC(=O)S3)O
76311317,C1=CC(=C(C=C1C#N)S(=O)(=O)C2=NC(=CS2)C3=C4C=C(C=CN4N=C3)Br)F
76333034,C1=CC(=C(C=C1C#N)S(=O)C2=NC(=CS2)C3=C4C=C(C=CN4N=C3)Br)F
